rate,q,time
101.7188575,0.0004,492
100.8334708,0.0058,493.5
99.64624777,0.0088,495
99.05263624,-0.0026,496.5
99.28404412,-0.0285,498
98.57975926,-0.0374,499.5
99.93802293,-0.053,501
97.30198528,-0.0945,502.5
98.14712712,-0.1289,504
99.15324836,-0.0387,505.5
99.96820657,0.0932,507
101.2459805,0.1232,508.5
101.316409,0.081,510
101.1654908,0.0149,511.5
100.7731036,-0.0004,513
99.88771687,0.0041,514.5
99.08281988,0.0151,516
98.89165684,0.0193,517.5
98.36847379,0.0066,519
97.02027133,-0.0113,520.5
95.84310948,-0.0112,522
94.90741672,-0.009,523.5
94.59551914,-0.0124,525
95.14888582,-0.0079,526.5
96.49708829,0.0025,528
98.27792288,0.0113,529.5
100.2599817,0.0094,531
101.8798369,0.0028,532.5
102.5740606,-0.0021,534
102.453326,0.0028,535.5
101.9100206,0.0036,537
101.3365315,0.0014,538.5
101.1554296,-0.0093,540
101.598123,-0.0177,541.5
0,0,543
0,0,544.5
0,0,546
0,0,547.5
0,0,549
0,0,550.5
0,0,552
0,0,553.5
0,0,555
